,customer_id,req_id,insu_req_amount,insu_pay_amount,insu_cum_amount,insu_duration,customer_cost,risk
535,C120948,C120948-20120608-16390-01-001,611948,2755630.0,1160000,29,-3.503046010445332,1
536,C120961,C120961-20120822-13206-01-001,164340,564340.0,8100000,27,-2.4339783375927952,1
537,C121007,C121007-20130610-15797-01-001,286398,306398.0,1050000,35,-0.0698328898944825,1
538,C121019,C121019-20120209-18969-02-001,33300,153300.0,5400000,18,-3.6036036036036037,1
539,C121029,C121029-20130509-19133-01-001,138100,338100.0,1560000,39,-1.448225923244026,1
540,C121037,C121037-20130514-17165-01-001,450000,1590000.0,1760000,44,-2.533333333333333,1
541,C121042,C121042-20130823-13279-01-001,280110,480110.0,5220000,36,-0.7140052122380494,1
542,C121044,C121044-20130916-18534-02-001,831727,6132831.0,7920000,36,-6.373610571738082,1
543,C121051,C121051-20130320-13669-01-001,527768,767768.0,7480000,34,-0.45474526685968075,1
544,C121056,C121056-20120921-13479-01-001,1419382,1569382.0,1280000,32,-0.10567979585481568,1
545,C121087,C121087-20120829-11270-01-001,1744849,2154849.0,1160000,29,-0.23497735334117736,1
546,C121111,C121111-20100802-18247-01-001,520610,530610.0,100000,2,-0.01920823649180769,1
547,C121148,C121148-20130709-13164-01-001,788530,938530.0,1440000,36,-0.19022738513436394,1
548,C121150,C121150-20130403-13469-01-001,4905361,5600958.0,7480000,34,-0.14180342690374878,1
549,C121170,C121170-20130306-14571-01-001,172100,372100.0,1320000,33,-1.1621150493898895,1
550,C121172,C121172-20130524-16909-01-001,124600,344600.0,1560000,39,-1.7656500802568218,1
551,C121178,C121178-20110923-16438-02-001,718325,1408325.0,800000,16,-0.9605679880277034,1
552,C121204,C121204-20130320-10099-02-001,2679383,3159383.0,9600000,32,-0.17914572123507538,1
553,C121207,C121207-20120830-13030-01-001,806566,866566.0,1120000,28,-0.07438944860061049,1
554,C121240,C121240-20110901-16940-01-001,10100,210100.0,720000,18,-19.801980198019802,1
555,C121288,C121288-20110712-19926-02-001,1624290,1874290.0,4400000,22,-0.1539134021634068,1
556,C121291,C121291-20120131-21634-02-001,55800,455800.0,5400000,18,-7.168458781362007,1
557,C121292,C121292-20111031-11252-01-001,161022,241022.0,3300000,15,-0.4968265205996696,1
558,C121295,C121295-20120529-14176-01-001,533719,833719.0,4840000,22,-0.5620935361116992,1
559,C121308,C121308-20120824-13140-01-001,5243606,6193606.0,1360000,34,-0.18117303245133215,1
560,C121351,C121351-20130129-17626-01-001,75400,575400.0,1440000,36,-6.63129973474801,1
561,C121384,C121384-20130201-15151-01-001,428910,548910.0,5220000,29,-0.2797789746100581,1
562,C121395,C121395-20110928-20081-01-001,466411,1146411.0,2640000,12,-1.4579416008627584,1
563,C121401,C121401-20110923-13874-01-001,4760,304760.0,2200000,22,-63.02521008403362,1
564,C121406,C121406-20120711-15270-01-001,1340019,2930019.0,4840000,22,-1.1865503399578663,1
565,C121408,C121408-20120322-11564-01-001,370823,630823.0,1160000,29,-0.7011431329771886,1
566,C121411,C121411-20121030-18612-01-001,568878,608878.0,3770000,26,-0.07031384585095574,1
567,C121433,C121433-20130812-11658-01-001,2285826,2525826.0,8360000,38,-0.10499486837580813,1
568,C121445,C121445-20130215-10982-01-001,284987,344987.0,2320000,29,-0.21053591918227849,1
569,C121447,C121447-20100507-15997-02-001,140000,340000.0,280000,7,-1.4285714285714286,1
570,C121448,C121448-20130521-15821-01-001,1744910,1944910.0,4000000,40,-0.11461909210217146,1
571,C121457,C121457-20130530-17858-01-001,1769222,2109222.0,4160000,32,-0.19217486556237715,1
572,C121464,C121464-20111214-20216-01-001,611607,2241607.0,680000,17,-2.6651101115585663,1
573,C121476,C121476-20130503-11172-03-001,2097358,2106995.0,6400000,32,-0.00459482835071552,1
574,C121477,C121477-20130314-14171-01-001,147600,547600.0,6000000,30,-2.710027100271003,1
575,C121478,C121478-20130218-21368-01-001,449080,529080.0,1360000,34,-0.17814197915738844,1
576,C121481,C121481-20130311-17533-01-001,87300,437300.0,1440000,36,-4.009163802978236,1
577,C121483,C121483-20130528-18710-01-001,786900,1756900.0,6600000,33,-1.2326852204854493,1
578,C121500,C121500-20121206-14390-02-001,1944851,1964850.0,5400000,27,-0.010283049961153836,1
579,C121507,C121507-20111226-16737-01-001,3130873,3610873.0,760000,19,-0.1533118718006128,1
580,C121518,C121518-20120918-11022-01-001,348740,528740.0,1360000,34,-0.5161438320812066,1
581,C121562,C121562-20130829-20297-01-001,82900,482614.0,4400000,44,-4.821640530759952,1
